"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Accession"
"ASV1658","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","NS7_marine_group","uncultured_Flavobacteriia_bacterium",NA,NA
"ASV1663","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Marinagarivorans",NA,NA
"ASV1668","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Puniceicoccus",NA,NA
"ASV1680","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","uncultured_planctomycete",NA,NA
"ASV1682","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","uncultured",NA,NA
"ASV1720","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Labrenzia",NA,NA
"ASV1729","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Lamprocystis",NA,NA
"ASV1740","Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales","Tenderiaceae","Candidatus_Tenderia",NA,NA
"ASV1755","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA,NA
"ASV1768","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodopirillaceae","Defluviicoccus",NA,NA
"ASV1769","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Jindonia",NA,NA
"ASV1774","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","uncultured_marine_bacterium",NA,NA
"ASV1782","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",NA,NA
"ASV1800","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","uncultured_bacterium","uncultured_bacterium",NA,NA
"ASV1806","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muricauda",NA,NA
"ASV1808","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium",NA,NA
"ASV1813","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12","uncultured_bacterium",NA,NA
"ASV1818","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidetes_VC2.1_Bac22","uncultured_bacterium","uncultured_bacterium",NA,NA
"ASV1830","Bacteria","Bacteroidetes","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium",NA,NA
"ASV1837","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Kangiellaceae","Aliikangiella",NA,NA
"ASV1845","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","uncultured",NA,NA
"ASV1849","Bacteria","Proteobacteria","Gammaproteobacteria","OM182_clade","uncultured_bacterium","uncultured_bacterium",NA,NA
"ASV1856","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Algimonas",NA,NA
"ASV1858","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",NA,NA
"ASV1862","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacter",NA,NA
"ASV1869","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax",NA,NA
"ASV1883","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured",NA,NA
"ASV1889","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas",NA,NA
"ASV1893","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polynucleobacter",NA,NA
"ASV1902","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",NA,NA
"ASV1905","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Methylophaga",NA,NA
"ASV1908","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Herbiconiux",NA,NA
"ASV1911","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae","Acrophormium_PCC-7375",NA,NA
"ASV1921","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Hydrogenophilaceae","Hydrogenophilus",NA,NA
"ASV1934","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter",NA,NA
"ASV1938","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","uncultured",NA,NA
"ASV1940","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,NA
"ASV1950","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02",NA,NA
"ASV1957","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","uncultured",NA,NA
"ASV1960","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2",NA,NA
"ASV1961","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystis",NA,NA
"ASV1975","Bacteria","Actinobacteria","Acidimicrobiia","Actinomarinales","uncultured","uncultured_actinobacterium",NA,NA
"ASV1977","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","uncultured",NA,NA
"ASV1984","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","uncultured",NA,NA
"ASV2017","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured",NA,NA
"ASV2035","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfococcus",NA,NA
"ASV2080","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Rheinheimera",NA,NA
"ASV2097","Bacteria","Proteobacteria","Deltaproteobacteria","PB19","uncultured_delta_proteobacterium","uncultured_delta_proteobacterium",NA,NA
"ASV2135","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","OCS116_clade","uncultured_marine_bacterium",NA,NA
"ASV2138","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Haliea",NA,NA
"ASV2156","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudorhodoplanes",NA,NA
"ASV2161","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",NA,NA
"ASV2165","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Rs-M59_termite_group","uncultured_bacterium",NA,NA
"ASV2172","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Marixanthomonas",NA,NA
"ASV2175","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Agaribacter",NA,NA
"ASV2184","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",NA,NA
"ASV2211","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","uncultured_sediment_bacterium",NA,NA
"ASV2222","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20","uncultured_bacterium",NA,NA
"ASV2223","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum",NA,NA
"ASV2238","Bacteria","Bacteroidetes","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","IheB3-7",NA,NA
"ASV2243","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Leeuwenhoekiella",NA,NA
"ASV2245","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_23",NA,NA
"ASV2266","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aquamicrobium",NA,NA
"ASV2275","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus_Metachlamydia",NA,NA
"ASV2283","Bacteria","Proteobacteria","Alphaproteobacteria","NRL2","Lutibaculum_sp.","Lutibaculum_sp.",NA,NA
"ASV2299","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,NA
"ASV2311","Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j","uncultured_delta_proteobacterium","uncultured_delta_proteobacterium",NA,NA
"ASV2326","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","uncultured","uncultured_bacterium",NA,NA
"ASV2328","Bacteria","Planctomycetes","OM190","uncultured_bacterium","uncultured_bacterium","uncultured_bacterium",NA,NA
"ASV2330","Bacteria","Proteobacteria","Gammaproteobacteria","EC3","uncultured_bacterium","uncultured_bacterium",NA,NA
"ASV2371","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Silvanigrella",NA,NA
"ASV2378","Bacteria","Bacteroidetes","Rhodothermia","Rhodothermales","Rhodothermaceae","Rubrivirga",NA,NA
"ASV2388","Bacteria","Cyanobacteria","Sericytochromatia","uncultured_soil_bacterium","uncultured_soil_bacterium","uncultured_soil_bacterium",NA,NA
"ASV2393","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",NA,NA
"ASV2394","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,NA
"ASV2430","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Filomicrobium",NA,NA
"ASV2440","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","uncultured",NA,NA
"ASV2442","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae","uncultured",NA,NA
"ASV2451","Bacteria","Cyanobacteria","Oxyphotobacteria","uncultured","uncultured_cyanobacterium","uncultured_cyanobacterium",NA,NA
"ASV2453","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA,NA
"ASV2459","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","SH-PL14",NA,NA
"ASV2480","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter",NA,NA
"ASV2488","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis",NA,NA
"ASV2495","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Maritalea",NA,NA
"ASV2501","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","uncultured_Flavobacteriia_bacterium",NA,NA
"ASV2538","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","DEV007","uncultured_Verrucomicrobium_sp.",NA,NA
"ASV2550","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","uncultured_soil_bacterium",NA,NA
"ASV2557","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Candidatus_Thiosymbion",NA,NA
"ASV2574","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","Methyloceanibacter",NA,NA
"ASV2579","Bacteria","Latescibacteria","uncultured_bacterium","uncultured_bacterium","uncultured_bacterium","uncultured_bacterium",NA,NA
"ASV2582","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","Rubinisphaera",NA,NA
"ASV2584","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,NA
"ASV2591","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium",NA,NA
"ASV2600","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Candidatus_Alysiosphaera",NA,NA
"ASV2601","Bacteria","Acidobacteria","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae","Acanthopleuribacter",NA,NA
"ASV2638","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella",NA,NA
"ASV2646","Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59","uncultured_sediment_bacterium","uncultured_sediment_bacterium",NA,NA
"ASV2651","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured","uncultured_bacterium",NA,NA
"ASV2667","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",NA,NA
"ASV2689","Bacteria","Proteobacteria","Deltaproteobacteria","PB19","uncultured_bacterium","uncultured_bacterium",NA,NA
"ASV2703","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Microcystaceae","Atelocyanobacterium_(UCYN-A)",NA,NA
"ASV2730","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","uncultured",NA,NA
"ASV2734","Bacteria","Planctomycetes","OM190","uncultured_planctomycete","uncultured_planctomycete","uncultured_planctomycete",NA,NA
